cwc_station_name,cwc_district,cwc_river,cwc_basin,cwc_latitude,cwc_longitude,cwc_start_date,cwc_end_date,cwc_daily_rows,cwc_missing_pct,cwc_nonzero_pct,station_code,forecast_station_name,forecast_district,forecast_river,forecast_tributary,forecast_latitude,forecast_longitude,linked_comid,streamorder,reach_link_distance_m,cwc_to_forecast_distance_km,name_similarity_score,river_or_basin_match,linkage_score,candidate_rank
Barmanghat,NARSIMHAPUR,Narmada,Narmada,23.03055556,79.01583333,2001-01-01,2025-12-31,8944,2.05,100.0,MP1100_Nrngr,Noornagar,Raisen,Narmada,Tenduni,23.11138888888889,78.40277777777777,441050508,6,14617.204139428162,63.357,0.2105,True,0.3752,3
Barmanghat,NARSIMHAPUR,Narmada,Narmada,23.03055556,79.01583333,2001-01-01,2025-12-31,8944,2.05,100.0,MP1100_Kmnkd,Kamankheda,Khandwa,Narmada,Kaveri,22.165,76.23333333333333,440928077,7,9885.832494857046,301.417,0.6,True,0.31,4
Barmanghat,NARSIMHAPUR,Narmada,Narmada,23.03055556,79.01583333,2001-01-01,2025-12-31,8944,2.05,100.0,MP1100_Strna,Satrana,Sehore,Narmada,Kolar,22.672222222222224,77.355,440940446,7,7963.290483636937,174.783,0.5882,True,0.3059,5
Beda at Satwadi(Gogawa),Khargone,Narmada,Narmada,21.91805556,75.74833333,2019-06-01,2025-12-31,2377,1.21,84.6,MP1100_Bmnla,Bamnalla_Khargone,Khargon,Narmada,Veda,21.834444444444443,75.83583333333333,440976241,7,39820.51257861692,12.96,0.3784,True,0.7112,1
Beda at Satwadi(Gogawa),Khargone,Narmada,Narmada,21.91805556,75.74833333,2019-06-01,2025-12-31,2377,1.21,84.6,MP1100_Bhdli,Bhadli,Khargon,Narmada,Veda,21.850833333333327,75.60527777777777,440983121,7,37207.352799811175,16.545,0.2963,True,0.6627,2
Beda at Satwadi(Gogawa),Khargone,Narmada,Narmada,21.91805556,75.74833333,2019-06-01,2025-12-31,2377,1.21,84.6,MP1100_Thkri,Thikri,Khargon,Narmada,Narmada,22.06666666666666,75.48333333333332,440970738,7,10335.4121083296,31.931,0.1481,True,0.5262,3
Beda at Satwadi(Gogawa),Khargone,Narmada,Narmada,21.91805556,75.74833333,2019-06-01,2025-12-31,2377,1.21,84.6,MP1100_Kmnkd,Kamankheda,Khandwa,Narmada,Kaveri,22.165,76.23333333333333,440928077,7,9885.832494857046,57.033,0.1935,True,0.4041,4
Beda at Satwadi(Gogawa),Khargone,Narmada,Narmada,21.91805556,75.74833333,2019-06-01,2025-12-31,2377,1.21,84.6,MP1100_Gujri,Gujri,Dhar,Narmada,Karam,22.558333333333334,75.51666666666667,440983121,7,47214.50288495643,75.082,0.0769,True,0.264,5
Belkhedi,NARSIMHAPUR,Narmada,Narmada,22.92888889,79.34027778,2001-01-01,2025-12-31,8862,2.95,94.63,MP1100_Mergn,Meregaon_Jabalpur,Jabalpur,Narmada,Hiran,23.15805555555556,79.3861111111111,441069768,6,5404.338366277713,25.91,0.1667,True,0.5658,1
Belkhedi,NARSIMHAPUR,Narmada,Narmada,22.92888889,79.34027778,2001-01-01,2025-12-31,8862,2.95,94.63,MP1100_Slwda,Saliwada_Jabalpur,Jabalpur,Narmada,Gour,23.11805555555556,80.01222222222222,441011977,6,7481.550363052474,71.91,0.1667,True,0.3128,2
